id,title,slug,description,playlist_id,url,published_at,position,created_at,updated_at
_cEigDgrpNw,Shrimaan Shrimati | Full Episode 115,shrimaan-shrimati-full-episode-115,"Chintu informs Keshav that Ganga is about to come, but is unwell. Later Ganga comes and tells Koki that she can show her the future and tells that Dilruba would become a beggar in the year two thousand and five. Later, Dilruba goes to Koki and asks her about Ganga's prediction. Watch the entire episode to know more.

Shrimaan Shrimati, a famous sitcom by Adhikari Brothers, reflects the notion of loving one's neighbor's wife. Keshav Kulkarni (Jatin Kanakia) and his wife Kokila's (Reema Lagoo) life changes when popular film actress Prema Shalini (Archana Puran Singh) comes to live in their neighborhood with Dilruba (Rakesh Bedi), her effeminate husband. Keshav, who has always desired of a glamorous life partner, gets attracted to Prema. On the other hand, Dilruba finds Kokila's intelligence to be attractive. Watch these men fail in their funny attempts to impress each others' wife. Click to Subscribe - http://bit.ly/MastiKhor",PLn-69keDbw1LEVME-i3mW7VCOu_KGLCFi,,2013-11-14 13:03:25,113,2024-02-16 17:21:52,2024-02-19 17:09:08
_cZtXH4_rD4,Shaktimaan (शक्तिमान) - Full Episode 61 | Hindi Tv Series,shaktimaan-shakatamana-full-episode-61-hindi-tv-series,"Shaktimaan in his heroic avatar will be a powerhouse dedicated towards fighting against evil plans and saving the human kind. Shaktimaan is one among us, a young man with a good heart, standing tall as a savior of humanity, reminding us of who we are while unearthing and uprooting all evil, with a single purpose of saving this world, saving his world.


#Shaktimaan #mukeshkhanna #ultrabollywood",PL3E110C16D04A4070,,2011-12-29 03:37:38,60,2024-02-16 16:10:21,2024-02-19 17:09:08
_g-kRojXUsc,Shrimaan Shrimati | Full Episode 11  |   श्रीमान श्रीमती | एपिसोड - 11,shrimaan-shrimati-full-episode-11-sharamana-sharamata-epasada-11,"Keshav denies Chintu's request to take him out for dinner as he believes that it is not good for the stomach. However, Dilruba and Prema ask Koki and Keshav out for a dinner which Keshav is unable to deny. At the dinner table, a drunken Keshav is adamant to pay the bill, but Koki somehow removes the money from his pocket trying to handle the situation. Watch the entire episode to know what happens afterwards.

Shrimaan Shrimati, a famous sitcom by Adhikari Brothers, reflects the notion of loving one's neighbor's wife.

SUBSCRIBE for the ultimate dose of laughter! https://www.youtube.com/user/mastiiikhor
Don't forget to Like, Comment and Share with your friends and family. Click to Subscribe - http://bit.ly/MastiKhor",PLn-69keDbw1LEVME-i3mW7VCOu_KGLCFi,,2013-08-30 15:58:01,10,2024-02-16 17:21:51,2024-02-19 17:09:08
_L-QozH-WUc,Shaktimaan - Episode 320,shaktimaan-episode-320,"Shaktimaan is the ""Indian Super Hero"" who has been an icon for kids in India. Shaktimaan in his heroic avatar will be a powerhouse dedicated towards fighting against evil plans and saving the human kind. Shaktimaan is one among us, a young man with a good heart, standing tall as a savior of humanity, reminding us of who we are while unearthing and uprooting all evil, with a single purpose of saving this world, saving his world.",PL_BnV0cOaQVrWvLCMxLNEiSjMn9IjT0XO,,2013-12-25 09:50:56,116,2024-02-16 16:48:01,2024-02-19 17:09:08
_PUsx6D-d3g,Shaktimaan - Episode 192,shaktimaan-episode-192,"Shaktimaan is the ""Indian Super Hero"" who has been an icon for kids in India. Shaktimaan in his heroic avatar will be a powerhouse dedicated towards fighting against evil plans and saving the human kind. Shaktimaan is one among us, a young man with a good heart, standing tall as a savior of humanity, reminding us of who we are while unearthing and uprooting all evil, with a single purpose of saving this world, saving his world.",PL3E110C16D04A4070,,2013-04-11 12:46:27,190,2024-02-16 16:10:21,2024-02-19 17:09:08
_SC8LHU8kMk,Shrimaan Shrimati | Full Episode 136,shrimaan-shrimati-full-episode-136,"Gokhale nad Keshav decide to become goons and hence, they start taking coaching for the same. On the other hand, Prema and Dilruba are having a friendly conversation. Further, Keshav wants Prema to sign on the admission papers of Supari Institute. Watch the entire episode to know what happens next.
Shrimaan Shrimati, a famous sitcom by Adhikari Brothers, reflects the notion of loving one's neighbor's wife.

SUBSCRIBE for the ultimate dose of laughter! https://www.youtube.com/user/mastiiikhor
Don't forget to Like, Comment and Share with your friends and family. Click to Subscribe - http://bit.ly/MastiKhor",PLn-69keDbw1LEVME-i3mW7VCOu_KGLCFi,,2013-11-14 13:03:26,134,2024-02-16 17:21:52,2024-02-19 17:09:08
_vcXqIEIdc4,Malgudi Days - मालगुडी डेज - Episode 14 - The Vendor of Sweets - मिठाईवाला (Part 6),malgudi-days-malgada-daja-episode-14-the-vendor-of-sweets-mathaiival-part-6,"Subscribe to Ultra Hindi - http://bit.ly/SubscribeUltraHindi

Malgudi Days - मालगुडी डेज - Episode 14 - The Vendor of Sweets - मिठाईवाला (Part 6)

Malgudi Days is an Indian television series based on the works of R.K. Narayan. The series was directed by Kannada actor and director Shankar Nag. 
The main characters are Jagan and his son Mali. It revolves around the issues arising from the generation gap between father and son. Narayan in his superb style narrates the pr of his role in India's freedom struggle during his youth. Gita forms the staple of his life. He tries to act on the principles described in the great epic. Naturopathy forms the pivotal of his life and he even desires to publish his natural way of living in the form of a book, but obviously it is a futile dream as the draft has been gathering dust in the publisher’s office for the last five years. He wears hand spun cloth that signifies purity to him. In his early days Jagan loses his wife Ambika because of his belief in nature cures. He had never spent much time with his wife, something that causes discontent in his son Mali. Mali has got his passport and tickets ready without even informing Jagan about his plans.Mali, without his father's permission discontinues his education, and goes to America to get training to write a book. But, the old man accepts even this diversion with good heart and treasures every letter received from Mali and proudly exhibits it to anyone who cares to listen. A few years later, he comes back very Westernized and brings along a half-American, half-Korean girl, Grace. Jagan assumes that they are married, though Mali never told him this in a straightforward way, which causes great disappointment to Jagan. Jagan however develops an affection for Grace and feels Mali is not giving her the attention she deserves.

Soon Mali expresses a desire to start a machine factory with some partners from America. He asks his father to invest in this factory. Jagan is unwilling, which causes friction between Jagan and Mali. Troubled by the turmoil, Jagan decides to retire from active working. As this is happening, Mali is caught by the police for drunkenness and deserts his wife. Jagan then asks his cousin to make sure that Mali stays in prison for some time, so that he can learn his mistakes. Jagan also gives some amount of money to the cousin so that he can buy a plane ticket to Grace so she can go back to her hometown.

The conflict between the old and young generation, their ideals and the generation gap makes 'Vendor of Sweets' a memorable story.",PL_BnV0cOaQVrQ4mdkMDGp0pwl9QjRxMJY,,,13,2024-02-16 17:41:21,2024-02-16 17:41:21
-1FbpNNsivs,Shaktimaan - Episode 321,shaktimaan-episode-321,"Shaktimaan is the ""Indian Super Hero"" who has been an icon for kids in India. Shaktimaan in his heroic avatar will be a powerhouse dedicated towards fighting against evil plans and saving the human kind. Shaktimaan is one among us, a young man with a good heart, standing tall as a savior of humanity, reminding us of who we are while unearthing and uprooting all evil, with a single purpose of saving this world, saving his world.",PL_BnV0cOaQVrWvLCMxLNEiSjMn9IjT0XO,,2013-12-25 09:50:58,117,2024-02-16 16:48:01,2024-02-19 17:09:08
-7CbTQ5VNhw,केशु किस्से सबसे ज़्यादा प्यार करता है अपनी माँ से या कोकि सेIShrimaan Shrimati |Full Episode 94,kasha-kasasa-sabsa-yatha-payara-karata-ha-apana-ma-sa-ya-kaka-saishrimaan-shrimati-full-episode-94,"केशु किस्से सबसे ज़्यादा प्यार करता है अपनी माँ से या कोकि से I Shrimaan Shrimati | Full Episode 94
#shrimanshrimati #Shrimanshrimati #comedy 

Shrimaan Shrimati, a famous sitcom by Adhikari Brothers, reflects the notion of loving one's neighbor's wife. SUBSCRIBE for the ultimate dose of laughter! https://www.youtube.com/user/mastiiikhor Don't forget to Like, Comment and Share with your friends and family. Click to Subscribe - http://bit.ly/MastiKhor

#youtube #youtuber #instagram #music #love #follow #like #explorepage #youtubers #youtubechannel #gaming #twitch #video #instagood #hiphop #memes #viral #subscribe #gamer #rap #facebook #explore #ps #art #soundcloud #k #artist #trending #Bollywood #india #webseries #show  #masti #video #Shrimanshrimati #comedy #mastikhor",PLn-69keDbw1LEVME-i3mW7VCOu_KGLCFi,,,207,2024-02-16 17:30:02,2024-02-16 17:30:02
-8r8_1ywxAs,Shaktimaan (शक्तिमान) - Full Episode 90 | Kids Hindi Tv Series,shaktimaan-shakatamana-full-episode-90-kids-hindi-tv-series,"Shaktimaan is the ""Indian Super Hero"" who has been an icon for kids in India. Shaktimaan in his heroic avatar will be a powerhouse dedicated towards fighting against evil plans and saving the human kind. Shaktimaan is one among us, a young man with a good heart, standing tall as a savior of humanity, reminding us of who we are while unearthing and uprooting all evil, with a single purpose of saving this world, saving his world.
#Shaktimaan",PL3E110C16D04A4070,,2012-03-16 05:54:15,89,2024-02-16 16:10:21,2024-02-19 17:09:08
